system,number_density,atom_types,unitcell_alpha,unitcell_beta,unitcell_gamma,unitcell_a,unitcell_b,unitcell_c,density,mean_coordination,packing_fraction,reduced_mass,average_mass,largest_pore_radius,bond_types,mean_bond_length,bond_variance,bond_std,bond_strain,electronegativity,effective_electronegativity,types_of_bond_angle,symmetry_number,pointgroup,mean_bond_angle,angle_variance,std_angle,types_puckering,max_puckering,mean_puckering,bond_density,energy,num_layers,layer_width,z_variance,spin_orbit_coupling,oxidation,entropy,linear_centre_fraction,alpha_max,alpha_max_temperature,alpha_300,saruration
MoSe2,0.0315,2,90,90,60,3.3174,3.3174,10,2.6651,4.97297297297297,0.3124,83.9557,84.6667,1.7869,2,2.7731,0.1276,0.3572,-0.0281,0.629,3.07,8,12,-6m2,93,913.2718,30.2204,3,0.9918,0.5835,0.0780638139088698,-20.74203462,1,3.3326088,1.851,3111696,6,5.29197879520307,0,-0.12920468,10,19.879219456,20
blue-P,0.0217,1,90,90,120,3.2621,3.2621,10,0.6728,2.71428571428571,0.1114,31,31,1.7724,1,2.2531,0,0,0.0529,0,3.16,1,4,2/m,93,0,0,2,0.9987,0.5043,0.0289370380076332,-10.91371144,1,1.2367894,0.3824,50625,0,0,0,-10.253349528,60,8.648487058,180
c63,0.0347,1,90,90,60,6.3156,6.3156,10,0.4169,2.73913043478261,0.0639,12,12,1.4312,2,1.41,0.0002,0.0157,-0.0724,0,3.15,3,12,6/m,111,1267.8852,35.6074,1,0.0032,0.0016,0.0463188812017254,-105.05361043,1,0,0,1296,0,0,0,-7.452979463,220,-6.978796393,1000
twin-graphene,0.0551,1,90,90,120,6.1417,6.1417,10,0.6612,2.64705882352941,0.1013,12,12,1.8834,3,1.4687,0.0052,0.072,-0.0337,0,3.15,4,24,6/mmm,116,113.0138,10.6308,2,0.9145,0.5704,0.0704079506746088,-151.68843503,1,2.35754568,0.9263,1296,0,0,0,-1.700107181,790,8.271275877,10
alpha-α-C2As2,0.0482,2,90,90,60,3.0968,3.0968,10,2.0951,3,0.2143,20.6897,43.5,1.5871,2,1.9483,0.0351,0.1875,0.0361,0,3.15,2,12,-6m2,104,68.2639,8.2622,2,0.9814,0.5898,0.0722436885490747,-25.83161644,1,3.4610994,1.7897,1185921,0,5.76282565917539,0,-0.58262686,30,11.851635827,50
gamma-Gy,0.0292,1,90,90,120,6.8847,6.8846,10,0.3508,2.234375,0.0538,12,12,4.3691,2,1.3747,0.0061,0.0782,-0.0956,0,3.15,2,24,6/mmm,143,847.3865,29.1099,1,0.0032,0.0015,0.0316715003909449,-103.52169185,2,0,0,1296,0,0,0.0138888888888889,-10.25283778,160,-8.158892077,690
H5,0.0366,1,90,90,90,11.1269,4.9144,10,0.4389,2.77083333333333,0.0673,12,12,1.6289,1,1.4278,0.0001,0.0094,-0.0607,0,3.15,5,16,mmm,121,115.0573,10.7265,1,0.0032,0.0015,0.0484618722223974,-181.47438923,1,0,0,1296,0,0,0,-1.442154879,100,0.591688787,270
PBN,0.0285,3,90,90,90,4.5556,4.6147,10,0.5327,2.7037037037037,0.0876,15.4166,18.6667,1.2669,4,1.7786,0.0339,0.1842,-0.0102,0.3178,3.2533,4,4,mm2,118,726.343,26.9508,1,0.0032,0.0016,0.0385820340527108,-39.47081598,1,0,0,50625,3,9.13386256798666,0,-3.744052032,70,9.206854428,160
chi3_borophene,0.0327,1,90,90,90,8.4375,2.8969,10,0.36,4.05882352941176,0.0842,11,11,1.4906,2,1.6804,0.0007,0.0271,-0.0115,0,3.04,4,16,mmm,111,1493.5996,38.6471,1,0.0032,0.0015,0.0640961646878451,-50.99270084,1,0,0,625,0,0,0.0138888888888889,-14.189722567,180,-11.393995155,1000
AsGY-REC,0.0213,2,90,90,90,7.4225,12.6486,10,0.5241,2.32352941176471,0.0614,14.4231,24.6,2.2449,4,1.5333,0.0688,0.2623,-0.0792,0,3.15,5,8,2/m,136,782.0565,27.9653,1,0.0032,0.0018,0.0234331665008508,-151.3135232,1,0,0,1185921,0,4.16034574929649,0,-12.483675038,30,2.154784967,230
